name	x	y	z
cepPiva	0.0028	0.0055	0.0053
cepPiva	0.0026	0.0051	0.0048
cepPiva	0.0025	0.0048	0.0044
cepPiva	0.0024	0.0045	0.004
cepPiva	0.0022	0.0041	0.0037
cepPiva	0.0021	0.004	0.0034
cepPiva	0.0019	0.0037	0.0031
cepPiva	0.0019	0.0035	0.0028
cepPiva	0.0018	0.0034	0.0026
cepPiva	0.0017	0.0031	0.0023
cepPiva	0.0017	0.003	0.0022
cepPiva	0.0016	0.0029	0.002
cepPiva	0.0016	0.0026	0.0018
cepPiva	0.0015	0.0025	0.0016
cepPiva	0.0014	0.0024	0.0015
cepPiva	0.0014	0.0022	0.0014
cepPiva	0.0014	0.0022	0.0013
cepPiva	0.0012	0.0021	0.0012
cepPiva	0.0012	0.002	0.0011
cepPiva	0.0012	0.0019	0.001
cepPiva	0.0012	0.0018	0.0009
cepPiva	0.0011	0.0017	0.0008
cepPiva	0.0011	0.0017	0.0008
cepPiva	0.001	0.0016	0.0007
cepPiva	0.001	0.0015	0.0006
cepPiva	0.001	0.0015	0.0006
cepPiva	0.001	0.0015	0.0005
cepPiva	0.0009	0.0013	0.0005
cepPiva	0.001	0.0014	0.0004
cepPiva	0.0008	0.0013	0.0004
cepPiva	0.0009	0.0012	0.0004
cepPiva	0.0009	0.0012	0.0004
cepPiva	0.0008	0.0012	0.0003
cepPiva	0.0008	0.001	0.0003
cepPiva	1.4856	1.423	0.9411
cepPiva	1.3152	1.2543	0.8526
cepPiva	1.1691	1.1106	0.7791
cepPiva	1.0435	0.9867	0.7175
cepPiva	0.9342	0.8785	0.665
cepPiva	0.8378	0.7847	0.6194
cepPiva	0.7532	0.7027	0.5787
cepPiva	0.6787	0.6307	0.5448
cepPiva	0.6086	0.5635	0.5067
cepPiva	0.551	0.5083	0.4796
cepPiva	0.4989	0.4588	0.4519
cepPiva	0.452	0.4141	0.4252
cepPiva	0.4112	0.3755	0.4015
cepPiva	0.3742	0.3407	0.379
cepPiva	0.342	0.3105	0.3587
cepPiva	0.327	0.2964	0.3489
cepPiva	0.2747	0.2478	0.3132
cepPiva	0.2323	0.2087	0.2818
cepPiva	0.198	0.1773	0.2541
cepPiva	0.1699	0.1516	0.2296
cepPiva	0.1466	0.1305	0.2078
cepPiva	0.1272	0.1131	0.1882
cepPiva	0.111	0.0984	0.1706
cepPiva	0.0972	0.0861	0.1548
cepPiva	0.0856	0.0758	0.1406
cepPiva	0.0757	0.0669	0.1277
cepPiva	0.0671	0.0592	0.1161
cepPiva	0.0596	0.0526	0.1057
cepPiva	0.0533	0.0468	0.0961
cepPiva	0.0477	0.0419	0.0875
cepPiva	0.0427	0.0375	0.0798
cepPiva	0.0384	0.0337	0.0727
cepPiva	0.0346	0.0303	0.0662
cepPiva	0.0311	0.0272	0.0605
cepPiva	0.0282	0.0247	0.0551
cepPiva	0.0255	0.0222	0.0504
cepPiva	0.0233	0.0201	0.046
cepPiva	0.0212	0.0183	0.042
cepPiva	0.0192	0.0167	0.0383
cepPiva	0.0176	0.0151	0.035
cepPiva	0.0162	0.0139	0.0319
cepPiva	0.0148	0.0127	0.0291
cepPiva	0.0135	0.0116	0.0266
cepPiva	0.0126	0.0107	0.0243
cepPiva	0.0115	0.0099	0.0222
cepPiva	0.0108	0.009	0.0203
cepPiva	0.01	0.0084	0.0186
cepPiva	0.0092	0.0078	0.017
cepPiva	0.0086	0.0071	0.0155
cepPiva	0.008	0.0067	0.0142
cepPiva	0.0075	0.0062	0.0129
cepPiva	0.007	0.0057	0.0119
cepPiva	0.0066	0.0055	0.0109
cepPiva	0.0062	0.0051	0.0099
cepPiva	0.0058	0.0048	0.009
cepPiva	0.0055	0.0045	0.0083
cepPiva	0.0052	0.0042	0.0076
cepPiva	0.0049	0.004	0.007
cepPiva	0.0047	0.0038	0.0064
cepPiva	0.0044	0.0035	0.0058
cepPiva	0.0043	0.0035	0.0053
cepPiva	0.004	0.0033	0.0049
cepPiva	0.0039	0.0032	0.0045
cepPiva	0.0038	0.0029	0.0041
cepPiva	0.0036	0.0029	0.0038
cepPiva	0.0034	0.0028	0.0035
cepPiva	0.0033	0.0027	0.0032
cepPiva	0.0032	0.0025	0.0029
cepPiva	0.0031	0.0024	0.0026
cepPiva	0.003	0.0023	0.0025
cepPiva	0.0029	0.0023	0.0023
cepPiva	0.0028	0.0021	0.0021
cepPiva	0.0027	0.0021	0.0019
cepPiva	0.0026	0.0021	0.0018
cepPiva	0.0026	0.002	0.0016
cepPiva	0.0025	0.0019	0.0015
cepPiva	0.0024	0.0019	0.0014
cepPiva	0.0023	0.0019	0.0013
cepPiva	0.0023	0.0017	0.0012
cepPiva	0.0022	0.0017	0.0011
cepPiva	0.0021	0.0017	0.001
cepPiva	0.0021	0.0015	0.0009
cepPiva	0.0021	0.0015	0.0009
cepPiva	0.002	0.0016	0.0008
cepPiva	0.0019	0.0015	0.0007
cepPiva	0.0019	0.0014	0.0007
cepPiva	0.0019	0.0014	0.0006
cepPiva	0.0018	0.0014	0.0006
cepPiva	0.0017	0.0013	0.0005
cepPiva	0.0018	0.0014	0.0005
cepPiva	0.0017	0.0013	0.0005
cepPiva	0.0016	0.0012	0.0004
cepPiva	0.0016	0.0012	0.0004
cepPiva	0.0016	0.0011	0.0004
cepPiva	1.3198	1.3892	0.8812
cepPiva	1.1656	1.2322	0.7976
cepPiva	1.0344	1.0978	0.7287
cepPiva	0.9216	0.9823	0.6707
cepPiva	0.8238	0.8821	0.621
cepPiva	0.7385	0.7944	0.5778
cepPiva	0.664	0.7172	0.5396
cepPiva	0.5978	0.6492	0.5075
cepPiva	0.5358	0.5842	0.4716
cepPiva	0.4853	0.5317	0.4464
cepPiva	0.4399	0.4839	0.4204
cepPiva	0.3988	0.4404	0.3955
cepPiva	0.3632	0.4026	0.3734
cepPiva	0.3308	0.3681	0.3524
cepPiva	0.3027	0.338	0.3335
cepPiva	0.2896	0.3239	0.3244
cepPiva	0.2441	0.2747	0.291
cepPiva	0.2073	0.2346	0.2618
cepPiva	0.1774	0.2016	0.2361
cepPiva	0.1528	0.1746	0.2133
cepPiva	0.1325	0.1519	0.1931
cepPiva	0.1155	0.1327	0.1749
cepPiva	0.1012	0.1166	0.1586
cepPiva	0.089	0.1029	0.144
cepPiva	0.0788	0.091	0.1308
cepPiva	0.0698	0.0809	0.1189
cepPiva	0.0621	0.0721	0.1082
cepPiva	0.0554	0.0643	0.0985
cepPiva	0.0496	0.0576	0.0897
cepPiva	0.0444	0.0518	0.0817
cepPiva	0.04	0.0465	0.0745
cepPiva	0.0359	0.0419	0.068
cepPiva	0.0324	0.0379	0.0621
cepPiva	0.0293	0.0342	0.0567
cepPiva	0.0264	0.031	0.0518
cepPiva	0.024	0.0282	0.0473
cepPiva	0.0217	0.0256	0.0433
cepPiva	0.0198	0.0233	0.0396
cepPiva	0.018	0.0214	0.0362
cepPiva	0.0164	0.0194	0.0331
cepPiva	0.015	0.0178	0.0303
cepPiva	0.0137	0.0163	0.0277
cepPiva	0.0125	0.015	0.0254
cepPiva	0.0115	0.0138	0.0232
cepPiva	0.0106	0.0127	0.0213
cepPiva	0.0097	0.0117	0.0195
cepPiva	0.009	0.0108	0.0179
