Ax      Bx     Ay      By     Az      Bz     label
0.6989 -0.1386 0.6294 -0.0853 0.6322 -0.1342 0
0.4044 -0.1122 0.3175 -0.1496 0.3012 -0.0805 0
0.4448 -0.0790 0.5531 -0.1210 0.5532 -0.1233 0
0.1132 -0.1300 0.0985 -0.1554 0.1056 -0.0798 0
0.7349 -0.1157 0.6788 -0.1194 0.5513 -0.0788 0
0.7314 -0.1135 0.6315 -0.1212 0.5406 -0.0788 0
0.8484 -0.1276 0.9079 -0.1209 0.7040 -0.0785 0
0.5636 -0.1226 0.5012 -0.1439 0.4236 -0.0782 0
0.5135 -0.1364 0.6737 -0.1160 0.5215 -0.0787 0
0.6274 -0.1553 0.8252 -0.1244 0.6432 -0.0799 0
0.8534 -0.1240 0.7851 -0.1344 0.7098 -0.0793 0
0.9973 -0.1365 1.1882 -0.1210 1.0370 -0.0793 0
0.7299 -0.1339 0.8495 -0.1274 0.8110 -0.0803 0
1.0243 -0.1114 1.0406 -0.1121 0.7980 -0.0789 0
0.6415 -0.1131 0.6218 -0.1166 0.4596 -0.0785 0
0.8818 -0.1177 0.6226 -0.1431 0.6676 -0.0798 0
0.6162 -0.1275 0.5840 -0.0833 0.5693 -0.1254 0
0.5326 -0.1374 0.3855 -0.0891 0.4066 -0.1414 0
0.5392 -0.1543 0.4708 -0.0871 0.4172 -0.1608 0
0.6835 -0.1375 0.6370 -0.0837 0.6273 -0.1312 0
0.7514 -0.1238 0.7450 -0.0812 0.6544 -0.1361 0
0.8905 -0.1306 0.7837 -0.0812 0.7325 -0.1417 0
1.1729 -0.1255 0.8883 -0.0818 0.7505 -0.1477 0
1.1645 -0.1277 1.0044 -0.0793 0.7629 -0.1470 0
0.7782 -0.1288 0.5588 -0.0837 0.5258 -0.1363 0
0.9239 -0.1300 0.6392 -0.0824 0.7349 -0.1557 0
1.0804 -0.1265 0.8217 -0.0804 0.8727 -0.1318 0
0.6572 -0.2082 0.8196 -0.0807 0.9282 -0.1283 0
0.8256 -0.1244 0.5768 -0.0841 0.7139 -0.1318 0
0.9609 -0.1258 0.7455 -0.0814 0.7247 -0.1444 0
0.5626 -0.0810 0.7020 -0.1279 0.6182 -0.1334 0
0.9924 -0.0792 1.0338 -0.1306 0.9947 -0.1333 0
0.5043 -0.0819 0.7399 -0.1361 0.6420 -0.1377 0
0.6742 -0.1481 0.7192 -0.1655 0.5255 -0.1147 0
0.9349 -0.0755 1.1718 -0.1368 1.0749 -0.1457 0
1.0000 -0.1306 1.0065 -0.1323 0.7864 -0.0816 0
0.9625 -0.0785 0.9671 -0.1366 0.9179 -0.1323 0
0.6930 -0.0873 0.8671 -0.1529 0.7943 -0.1466 0
0.7036 -0.0778 1.0196 -0.1287 0.8841 -0.1370 0
0.7035 -0.0812 1.1378 -0.1234 0.9846 -0.1327 0
0.4587 -0.0765 0.9835 -0.1318 0.9016 -0.1380 0
0.6460 -0.1053 1.0359 -0.1326 0.9131 -0.1353 0
0.8017 -0.1270 0.7076 -0.0808 0.6662 -0.1351 0
0.6518 -0.0810 0.8317 -0.1328 0.7485 -0.1366 0
0.8053 -0.0979 0.8676 -0.1479 0.8300 -0.1419 0
1.3150 -0.0587 0.3466 -0.0889 0.4930 -0.0795 1
0.3637 -0.0905 0.4871 -0.0795 1.4425 -0.0588 1
0.3398 -0.0899 0.5123 -0.0791 1.3782 -0.0581 1
0.3289 -0.0867 0.4619 -0.0827 0.9102 -0.0618 1
0.4320 -0.0816 0.3517 -0.0861 0.8652 -0.0616 1
0.2700 -0.0876 0.3811 -0.0824 0.7156 -0.0616 1
0.3004 -0.0739 0.1610 -0.0830 0.0786 -0.0965 1
0.0676 -0.0963 0.1264 -0.0842 0.2277 -0.0736 1
0.0595 -0.0971 0.1069 -0.0839 0.2263 -0.0742 1
0.0439 -0.1008 0.0549 -0.0947 0.3123 -0.0560 1
0.0550 -0.0887 0.0449 -0.0975 0.2847 -0.0563 1
0.7554 -0.0749 0.0975 -0.1050 0.4062 -0.0840 1
0.5974 -0.0749 0.0981 -0.1035 0.3579 -0.0829 1
0.1253 -0.0920 0.2114 -0.1002 0.1306 -0.0852 1
0.1023 -0.0857 0.1725 -0.1012 0.1165 -0.0891 1
0.3044 -0.0807 0.2104 -0.0924 0.7731 -0.0585 1
0.2273 -0.0944 0.4085 -0.0802 0.9153 -0.0574 1
1.1423 -0.0573 0.2860 -0.0940 0.5092 -0.0796 1
