0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 label
0.0334571074 0.0236679824 0.0170512245 0.0124924823 0.0092953328 0.0070057747 0.0053429402 0.0041343486 0.0031468456 0.0024930900 0.0019670648 0.0015617227 0.0012553331 0.0010114599 0.0008256136 0.0007450016 0.0005069316 0.0003526661 0.0002505251 0.0001812856 0.0001334074 0.0000995354 0.0000753321 0.0000576832 0.0000447018 0.0000349417 0.0000274847 0.0000218715 0.0000175690 0.0000141954 0.0000115491 0.0000094636 0.0000078070 0.0000064912 0.0000053750 0.0000045147 0.0000037738 0.0000032060 0.0000027090 0.0000023217 0.0000019799 0.0000017053 0.0000014659 0.0000012725 0.0000011000 0.0000009572 0.0000008317 0.0000007305 0.0000006390 0.0000005611 0.0000004918 0.0000004422 0.0000003896 0.0000003468 0.0000003065 0.0000002716 0.0000002473 0.0000002185 0.0000001972 0.0000001759 0.0000001594 0.0000001426 0.0000001298 0.0000001167 0.0000001072 0.0000000958 0.0000000894 0.0000000803 0.0000000734 0.0000000674 0.0000000610 0.0000000560 0.0000000517 0.0000000471 0.0000000434 0.0000000400 0.0000000371 0.0000000341 0.0000000319 0.0000000295 0.0000000272 0.0000000260 0.0000000235 0.0000000217 0.0000000200 0.0000000189 0.0000000177 0.0000000167 0.0000000152 0.0000000147 0.0000000133 0.0000000126 0.0000000117 0.0000000108 0.0000000000
0.0939485216 0.0667984959 0.0483626909 0.0355714083 0.0265554046 0.0200946379 0.0153944753 0.0119783769 0.0091723301 0.0073048859 0.0057975721 0.0046231857 0.0037357273 0.0030308824 0.0024853814 0.0022469698 0.0015435699 0.0010804525 0.0007748694 0.0005640451 0.0004185284 0.0003144154 0.0002401714 0.0001852223 0.0001444737 0.0001138117 0.0000903423 0.0000722082 0.0000582825 0.0000474155 0.0000388727 0.0000321341 0.0000264915 0.0000221343 0.0000185180 0.0000156080 0.0000132037 0.0000112166 0.0000095077 0.0000081629 0.0000070002 0.0000061085 0.0000052351 0.0000045590 0.0000039684 0.0000034642 0.0000030544 0.0000026607 0.0000023611 0.0000020804 0.0000018346 0.0000016239 0.0000014497 0.0000013008 0.0000011550 0.0000010462 0.0000009257 0.0000008355 0.0000007528 0.0000006745 0.0000006086 0.0000005519 0.0000004981 0.0000004523 0.0000004164 0.0000003772 0.0000003430 0.0000003165 0.0000002845 0.0000002610 0.0000002415 0.0000002235 0.0000002043 0.0000001909 0.0000001750 0.0000001636 0.0000001506 0.0000001391 0.0000001294 0.0000001203 0.0000001108 0.0000001031 0.0000000954 0.0000000890 0.0000000825 0.0000000774 0.0000000731 0.0000000673 0.0000000640 0.0000000580 0.0000000542 0.0000000513 0.0000000488 0.0000000445 0.0000000000
0.0196654172 0.0139529774 0.0100824504 0.0073960735 0.0055037414 0.0041534905 0.0031611082 0.0024495169 0.0018667540 0.0014800042 0.0011686663 0.0009280836 0.0007464942 0.0006009650 0.0004903140 0.0004425066 0.0003001702 0.0002080726 0.0001475277 0.0001064323 0.0000780834 0.0000583256 0.0000441502 0.0000337677 0.0000261067 0.0000203528 0.0000160794 0.0000127762 0.0000102340 0.0000082507 0.0000067184 0.0000054905 0.0000045112 0.0000037319 0.0000031085 0.0000025995 0.0000021841 0.0000018445 0.0000015585 0.0000013339 0.0000011302 0.0000009696 0.0000008317 0.0000007229 0.0000006213 0.0000005465 0.0000004682 0.0000004130 0.0000003617 0.0000003187 0.0000002791 0.0000002456 0.0000002194 0.0000001946 0.0000001734 0.0000001554 0.0000001358 0.0000001242 0.0000001090 0.0000000990 0.0000000886 0.0000000795 0.0000000723 0.0000000647 0.0000000587 0.0000000527 0.0000000479 0.0000000441 0.0000000403 0.0000000368 0.0000000335 0.0000000307 0.0000000288 0.0000000259 0.0000000239 0.0000000219 0.0000000204 0.0000000185 0.0000000176 0.0000000159 0.0000000151 0.0000000137 0.0000000128 0.0000000118 0.0000000110 0.0000000104 0.0000000096 0.0000000089 0.0000000083 0.0000000077 0.0000000074 0.0000000066 0.0000000063 0.0000000058 0.0000000000
0.0399537235 0.0283334770 0.0204286017 0.0149702533 0.0111332223 0.0083999174 0.0064058246 0.0049669859 0.0037871541 0.0030029450 0.0023715655 0.0018827303 0.0015133389 0.0012202143 0.0009972212 0.0008996900 0.0006117442 0.0004253561 0.0003024279 0.0002188069 0.0001607885 0.0001200340 0.0000908980 0.0000696116 0.0000538625 0.0000420235 0.0000332363 0.0000263694 0.0000212036 0.0000171103 0.0000139649 0.0000113699 0.0000094114 0.0000077840 0.0000064732 0.0000053963 0.0000045580 0.0000038413 0.0000032698 0.0000027593 0.0000023802 0.0000020356 0.0000017525 0.0000015125 0.0000013067 0.0000011455 0.0000009931 0.0000008692 0.0000007593 0.0000006698 0.0000005929 0.0000005213 0.0000004627 0.0000004116 0.0000003637 0.0000003253 0.0000002905 0.0000002614 0.0000002324 0.0000002110 0.0000001874 0.0000001696 0.0000001516 0.0000001399 0.0000001248 0.0000001134 0.0000001022 0.0000000957 0.0000000861 0.0000000794 0.0000000710 0.0000000656 0.0000000601 0.0000000559 0.0000000506 0.0000000470 0.0000000429 0.0000000414 0.0000000365 0.0000000344 0.0000000319 0.0000000295 0.0000000277 0.0000000254 0.0000000239 0.0000000221 0.0000000207 0.0000000186 0.0000000182 0.0000000166 0.0000000162 0.0000000148 0.0000000138 0.0000000125 0.0000000000
0.0588601273 0.0417631895 0.0301708325 0.0221406776 0.0165026754 0.0124565698 0.0095115414 0.0074010298 0.0056558558 0.0044989162 0.0035620204 0.0028392706 0.0022884722 0.0018495478 0.0015142010 0.0013682254 0.0009364760 0.0006549235 0.0004681278 0.0003404176 0.0002520961 0.0001889861 0.0001441724 0.0001107501 0.0000864969 0.0000678739 0.0000539757 0.0000430595 0.0000347435 0.0000281397 0.0000230778 0.0000188887 0.0000156782 0.0000130362 0.0000109174 0.0000092035 0.0000077344 0.0000065568 0.0000056057 0.0000047696 0.0000041191 0.0000035454 0.0000030760 0.0000026557 0.0000023058 0.0000020218 0.0000017664 0.0000015573 0.0000013772 0.0000012105 0.0000010714 0.0000009473 0.0000008373 0.0000007440 0.0000006678 0.0000006023 0.0000005352 0.0000004816 0.0000004333 0.0000003905 0.0000003541 0.0000003143 0.0000002852 0.0000002620 0.0000002385 0.0000002184 0.0000001958 0.0000001801 0.0000001654 0.0000001520 0.0000001376 0.0000001289 0.0000001177 0.0000001071 0.0000001003 0.0000000919 0.0000000847 0.0000000796 0.0000000739 0.0000000678 0.0000000635 0.0000000585 0.0000000541 0.0000000503 0.0000000471 0.0000000437 0.0000000415 0.0000000386 0.0000000352 0.0000000339 0.0000000309 0.0000000287 0.0000000276 0.0000000259 0.0000000000
0.0145524924 0.0103153824 0.0074426977 0.0054466724 0.0040487070 0.0030539507 0.0023287729 0.0018056016 0.0013748945 0.0010886580 0.0008588976 0.0006819741 0.0005484303 0.0004419247 0.0003603776 0.0003251092 0.0002206719 0.0001532275 0.0001088194 0.0000787386 0.0000578043 0.0000430880 0.0000325992 0.0000249194 0.0000192949 0.0000150395 0.0000118694 0.0000094165 0.0000075489 0.0000060817 0.0000049441 0.0000040493 0.0000033308 0.0000027491 0.0000022966 0.0000019157 0.0000016155 0.0000013596 0.0000011508 0.0000009771 0.0000008366 0.0000007219 0.0000006198 0.0000005321 0.0000004593 0.0000004000 0.0000003480 0.0000003058 0.0000002672 0.0000002357 0.0000002059 0.0000001829 0.0000001616 0.0000001426 0.0000001274 0.0000001119 0.0000001014 0.0000000906 0.0000000814 0.0000000730 0.0000000648 0.0000000586 0.0000000527 0.0000000482 0.0000000435 0.0000000393 0.0000000361 0.0000000325 0.0000000301 0.0000000269 0.0000000250 0.0000000227 0.0000000211 0.0000000192 0.0000000178 0.0000000161 0.0000000153 0.0000000138 0.0000000130 0.0000000119 0.0000000112 0.0000000102 0.0000000095 0.0000000088 0.0000000082 0.0000000076 0.0000000071 0.0000000065 0.0000000063 0.0000000056 0.0000000055 0.0000000051 0.0000000047 0.0000000045 0.0000000000
0.0261062447 0.0184730121 0.0133249756 0.0097551816 0.0072380549 0.0054531311 0.0041581114 0.0032253059 0.0024535108 0.0019406557 0.0015327104 0.0012153222 0.0009768377 0.0007874985 0.0006420611 0.0005793199 0.0003938185 0.0002733877 0.0001940844 0.0001402137 0.0001032253 0.0000771439 0.0000582451 0.0000446232 0.0000344883 0.0000269563 0.0000212488 0.0000168663 0.0000135725 0.0000109462 0.0000088950 0.0000072915 0.0000059829 0.0000049606 0.0000041419 0.0000034544 0.0000029070 0.0000024442 0.0000020822 0.0000017706 0.0000015195 0.0000012958 0.0000011230 0.0000009695 0.0000008385 0.0000007338 0.0000006353 0.0000005568 0.0000004869 0.0000004282 0.0000003777 0.0000003350 0.0000002952 0.0000002649 0.0000002335 0.0000002084 0.0000001862 0.0000001674 0.0000001490 0.0000001333 0.0000001216 0.0000001086 0.0000000990 0.0000000879 0.0000000800 0.0000000745 0.0000000672 0.0000000608 0.0000000566 0.0000000502 0.0000000458 0.0000000422 0.0000000386 0.0000000357 0.0000000328 0.0000000304 0.0000000287 0.0000000258 0.0000000240 0.0000000218 0.0000000209 0.0000000190 0.0000000178 0.0000000166 0.0000000152 0.0000000144 0.0000000135 0.0000000121 0.0000000118 0.0000000107 0.0000000100 0.0000000092 0.0000000088 0.0000000083 0.0000000000
0.0249637924 0.0176941066 0.0127463245 0.0093267818 0.0069377552 0.0052296137 0.0039874819 0.0030921358 0.0023571275 0.0018677416 0.0014755590 0.0011716835 0.0009425938 0.0007595458 0.0006196629 0.0005588019 0.0003792257 0.0002636272 0.0001873659 0.0001354283 0.0000997230 0.0000743568 0.0000562638 0.0000430834 0.0000334027 0.0000261333 0.0000205774 0.0000164006 0.0000130949 0.0000106290 0.0000086196 0.0000070746 0.0000058206 0.0000048123 0.0000040182 0.0000033680 0.0000028199 0.0000023824 0.0000020246 0.0000017286 0.0000014718 0.0000012583 0.0000010858 0.0000009379 0.0000008144 0.0000007039 0.0000006140 0.0000005420 0.0000004746 0.0000004134 0.0000003642 0.0000003215 0.0000002850 0.0000002540 0.0000002259 0.0000002020 0.0000001804 0.0000001599 0.0000001422 0.0000001289 0.0000001158 0.0000001050 0.0000000949 0.0000000858 0.0000000784 0.0000000711 0.0000000633 0.0000000582 0.0000000530 0.0000000485 0.0000000445 0.0000000404 0.0000000378 0.0000000338 0.0000000322 0.0000000291 0.0000000267 0.0000000247 0.0000000230 0.0000000214 0.0000000193 0.0000000185 0.0000000168 0.0000000159 0.0000000146 0.0000000140 0.0000000128 0.0000000119 0.0000000108 0.0000000101 0.0000000096 0.0000000090 0.0000000084 0.0000000079 0.0000000000
0.0173782311 0.0123272782 0.0088799475 0.0064928050 0.0048275771 0.0036366584 0.0027681480 0.0021450834 0.0016316133 0.0012918342 0.0010175567 0.0008064270 0.0006466484 0.0005207417 0.0004241144 0.0003821194 0.0002587987 0.0001793561 0.0001269463 0.0000915907 0.0000672095 0.0000498860 0.0000376545 0.0000287960 0.0000222242 0.0000173147 0.0000136189 0.0000107836 0.0000086336 0.0000069278 0.0000056115 0.0000045898 0.0000037659 0.0000031049 0.0000025870 0.0000021566 0.0000018109 0.0000015165 0.0000012798 0.0000010905 0.0000009279 0.0000007973 0.0000006862 0.0000005900 0.0000005086 0.0000004416 0.0000003857 0.0000003362 0.0000002940 0.0000002573 0.0000002248 0.0000001981 0.0000001763 0.0000001543 0.0000001380 0.0000001233 0.0000001091 0.0000000983 0.0000000883 0.0000000794 0.0000000705 0.0000000626 0.0000000567 0.0000000514 0.0000000468 0.0000000419 0.0000000386 0.0000000346 0.0000000320 0.0000000294 0.0000000262 0.0000000243 0.0000000220 0.0000000204 0.0000000185 0.0000000170 0.0000000157 0.0000000146 0.0000000138 0.0000000126 0.0000000115 0.0000000108 0.0000000100 0.0000000090 0.0000000086 0.0000000078 0.0000000075 0.0000000070 0.0000000063 0.0000000060 0.0000000056 0.0000000053 0.0000000048 0.0000000047 0.0000000000
0.0471291850 0.0334374742 0.0242139162 0.0177747266 0.0132470970 0.0100005275 0.0076372450 0.0059341856 0.0045313920 0.0036049230 0.0028555254 0.0022727344 0.0018314835 0.0014809391 0.0012126054 0.0010966942 0.0007503038 0.0005251457 0.0003750319 0.0002731353 0.0002018044 0.0001516210 0.0001151876 0.0000887423 0.0000691353 0.0000543123 0.0000430957 0.0000344771 0.0000277686 0.0000225239 0.0000184364 0.0000151714 0.0000125322 0.0000104435 0.0000086932 0.0000073748 0.0000062066 0.0000052884 0.0000044856 0.0000038361 0.0000032925 0.0000028400 0.0000024511 0.0000021223 0.0000018540 0.0000016136 0.0000014156 0.0000012441 0.0000011007 0.0000009641 0.0000008628 0.0000007562 0.0000006734 0.0000005987 0.0000005380 0.0000004805 0.0000004242 0.0000003810 0.0000003476 0.0000003120 0.0000002838 0.0000002515 0.0000002322 0.0000002100 0.0000001909 0.0000001729 0.0000001583 0.0000001434 0.0000001312 0.0000001210 0.0000001131 0.0000001032 0.0000000959 0.0000000867 0.0000000809 0.0000000738 0.0000000687 0.0000000640 0.0000000591 0.0000000542 0.0000000507 0.0000000467 0.0000000440 0.0000000405 0.0000000381 0.0000000351 0.0000000326 0.0000000305 0.0000000289 0.0000000265 0.0000000249 0.0000000233 0.0000000226 0.0000000206 0.0000000000
