A_mul   B_mul  label
0.0194 -0.0007 0
0.0213 -0.0007 0
0.0483 -0.0007 0
0.0231 -0.0007 0
0.4879 -0.0007 0
0.2004 -0.0006 0
0.0309 -0.0007 0
0.0642 -0.0007 0
0.0408 -0.0006 0
0.1700 -0.0006 0
0.2964 -0.0007 0
0.2810 -0.0006 0
0.0729 -0.0007 0
0.1295 -0.0007 0
0.0228 -0.0007 0
0.1259 -0.0006 0
0.0078 -0.0007 0
0.0153 -0.0007 0
0.0079 -0.0007 0
0.0147 -0.0006 0
0.0087 -0.0007 0
0.0082 -0.0007 0
0.0139 -0.0006 0
0.0045 -0.0007 0
0.0072 -0.0007 0
0.0123 -0.0006 0
0.0091 -0.0007 0
0.0159 -0.0007 0
0.0090 -0.0007 0
0.0101 -0.0007 0
0.0228 -0.0007 0
0.0096 -0.0006 0
0.0122 -0.0006 0
0.0383 -0.0006 0
0.0242 -0.0008 0
0.0079 -0.0006 0
0.0127 -0.0006 0
0.0145 -0.0008 0
0.0068 -0.0006 0
0.0145 -0.0006 0
0.0067 -0.0006 0
0.0137 -0.0006 0
0.0185 -0.0006 0
0.0236 -0.0006 0
0.0149 -0.0006 0
0.0061 -0.0006 0
0.0110 -0.0006 0
0.0300 -0.0007 0
0.0088 -0.0006 0
0.0074 -0.0006 0
0.0145 -0.0007 0
0.0216 -0.0006 0
0.0150 -0.0006 0
0.0102 -0.0006 0
0.0124 -0.0007 0
0.0157 -0.0006 0
0.0482 -0.0006 0
0.0160 -0.0007 0
0.0154 -0.0006 0
0.0053 -0.0007 0
0.0266 -0.0006 0
0.0001 -0.0013 0
0.0090 -0.0007 0
0.0044 -0.0007 0
0.0253 -0.0006 0
0.0067 -0.0008 0
0.0109 -0.0006 0
0.0029 -0.0008 0
0.0008 -0.0008 0
0.0043 -0.0007 0
0.0122 -0.0007 0
0.0076 -0.0007 0
0.0053 -0.0007 0
0.0181 -0.0007 0
0.0148 -0.0006 0
0.0052 -0.0007 0
0.0111 -0.0006 0
0.0144 -0.0005 0
0.0457 -0.0005 0
0.0306 -0.0006 0
0.0377 -0.0006 0
0.0275 -0.0006 0
0.0138 -0.0007 0
0.0644 -0.0006 0
0.0086 -0.0006 0
0.0000 -0.0007 0
0.0005 -0.0006 0
0.0046 -0.0007 0
0.0050 -0.0008 0
0.0049 -0.0009 0
0.0153 -0.0006 0
0.0032 -0.0008 0
0.0117 -0.0006 0
0.0485 -0.0006 0
0.0140 -0.0007 0
0.0576 -0.0005 0
0.0096 -0.0039 0
0.0008 -0.0008 0
0.0186 -0.0008 0
0.0165 -0.0006 0
0.0048 -0.0026 0
0.0005 -0.0002 0
0.0010 -0.0002 0
0.0006 -0.0002 0
0.0010 -0.0002 0
0.0003 -0.0002 0
0.0004 -0.0002 0
0.0003 -0.0002 0
0.0005 -0.0002 0
0.0004 -0.0002 0
0.0005 -0.0002 0
0.0003 -0.0002 0
0.0003 -0.0002 0
0.0002 -0.0002 0
0.0003 -0.0002 0
0.0005 -0.0002 0
0.0016 -0.0001 0
0.0022 -0.0001 0
0.0010 -0.0001 0
0.0020 -0.0001 0
0.0013 -0.0001 0
0.0021 -0.0001 0
0.0027 -0.0001 0
0.0007 -0.0001 0
0.0020 -0.0001 0
0.0015 -0.0001 0
0.0007 -0.0001 0
0.0006 -0.0001 0
0.0029 -0.0001 0
0.0016 -0.0001 0
0.0032 -0.0001 0
0.0056 -0.0001 0
0.0019 -0.0001 0
0.0032 -0.0001 0
0.0019 -0.0001 0
0.0028 -0.0001 0
0.0031 -0.0001 0
0.0035 -0.0001 0
0.0010 -0.0001 0
0.0017 -0.0001 0
0.0024 -0.0001 0
0.0008 -0.0001 0
0.0015 -0.0001 0
0.0041 -0.0001 0
0.0021 -0.0001 0
0.0003 -0.0001 0
0.0000 -0.0002 0
0.0001 -0.0001 0
0.0000 -0.0001 0
0.0000 -0.0001 0
0.0002 -0.0002 0
0.0000 -0.0001 0
0.0001 -0.0001 0
0.0008 -0.0002 0
0.0000 -0.0002 0
0.0002 -0.0002 0
0.0000 -0.0001 0
0.0001 -0.0001 0
0.0000 -0.0002 0
0.0000 -0.0001 0
0.0000 -0.0001 0
0.0004 -0.0001 0
0.0009 -0.0001 0
0.0001 -0.0001 0
0.0001 -0.0001 0
0.0007 -0.0001 0
0.0000 -0.0001 0
0.0002 -0.0001 0
0.0005 -0.0001 0
0.0002 -0.0001 0
0.0001 -0.0001 0
0.0004 -0.0001 0
0.0002 -0.0001 0
0.0004 -0.0001 0
0.0004 -0.0002 0
0.0001 -0.0001 0
0.0004 -0.0001 0
0.0005 -0.0001 0
0.0001 -0.0001 0
0.0005 -0.0001 0
0.0002 -0.0001 0
0.0000 -0.0001 0
0.0001 -0.0001 0
0.0001 -0.0001 0
0.0006 -0.0001 0
0.0004 -0.0001 0
0.0002 -0.0001 0
0.0002 -0.0001 0
0.0002 -0.0001 0
0.0000 -0.0002 0
0.0001 -0.0002 0
0.0000 -0.0002 0
0.0000 -0.0002 0
0.0038 -0.0002 0
0.0000 -0.0002 0
0.0000 -0.0002 0
0.0008 -0.0002 0
0.0023 -0.0002 0
0.0000 -0.0004 0
0.0001 -0.0001 0
0.0000 -0.0001 0
0.0002 -0.0002 0
0.0000 -0.0001 0
0.0000 -0.0001 0
0.0001 -0.0001 0
0.0000 -0.0011 0
0.0003 -0.0001 0
0.0000 -0.0001 0
0.0002 -0.0001 0
0.0000 -0.0002 0
0.0000 -0.0001 0
0.0001 -0.0002 0
0.0000 -0.0001 0
0.0001 -0.0001 0
0.0009 -0.0003 0
0.0001 -0.0001 0
0.0000 -0.0001 0
0.0003 -0.0002 0
0.0001 -0.0001 0
0.0001 -0.0002 0
0.0001 -0.0002 0
0.0000 -0.0001 0
0.0000 -0.0002 0
0.0000  0.0000 0
0.0001 -0.0001 0
0.0001 -0.0002 0
0.0008 -0.0002 0
0.0011 -0.0001 1
0.0028 -0.0001 1
0.0016 -0.0001 1
0.0028 -0.0001 1
0.0024 -0.0001 1
0.0070 -0.0001 1
0.0018 -0.0001 1
0.0018 -0.0001 1
0.0012 -0.0001 1
0.0016 -0.0001 1
0.0017 -0.0001 1
0.0015 -0.0001 1
0.0063 -0.0001 1
0.0023 -0.0001 1
0.0214 -0.0001 1
0.0108 -0.0002 1
0.0144 -0.0002 1
0.0108 -0.0002 1
0.0092 -0.0002 1
0.0106 -0.0002 1
0.0138 -0.0002 1
0.0099 -0.0002 1
0.0160 -0.0002 1
0.0127 -0.0002 1
0.0142 -0.0002 1
0.0063 -0.0002 1
0.0283 -0.0002 1
0.0117 -0.0002 1
0.0057 -0.0002 1
0.0072 -0.0002 1
0.0112 -0.0002 1
0.0094 -0.0002 1
0.0115 -0.0002 1
0.0000 -0.0001 1
0.0002 -0.0001 1
0.0001 -0.0001 1
0.0003 -0.0001 1
0.0003 -0.0001 1
0.0004 -0.0001 1
0.0000 -0.0001 1
0.0029 -0.0001 1
0.0015 -0.0001 1
0.0012 -0.0001 1
0.0003 -0.0001 1
0.0004 -0.0001 1
0.0007 -0.0001 1
0.0002 -0.0001 1
0.0001 -0.0001 1
0.0011 -0.0001 1
0.0019 -0.0002 1
0.0001 -0.0001 1
0.0036 -0.0002 1
0.0017 -0.0001 1
0.0021 -0.0002 1
0.0009 -0.0002 1
0.0025 -0.0002 1
0.0009 -0.0002 1
0.0023 -0.0002 1
0.0016 -0.0002 1
0.0002 -0.0001 1
0.0047 -0.0002 1
0.0019 -0.0002 1
0.0007 -0.0002 1
0.0035 -0.0002 1
0.0014 -0.0001 1
0.0022 -0.0002 1
0.0001 -0.0001 1
0.0033 -0.0002 1
0.0036 -0.0002 1
0.0009 -0.0002 1
0.0012 -0.0002 1
0.0021 -0.0002 1
0.0009 -0.0001 1
0.0015 -0.0002 1
0.0006 -0.0001 1
0.0014 -0.0002 1
0.0026 -0.0002 1
0.0011 -0.0002 1
0.0038 -0.0002 1
0.0002 -0.0001 1
0.0080 -0.0002 1
0.0015 -0.0002 1
0.0070 -0.0002 1
0.0002 -0.0001 1
0.0009 -0.0002 1
0.0001 -0.0001 1
0.0071 -0.0002 1
0.0016 -0.0002 1
0.0003 -0.0001 1
0.0001 -0.0002 1
0.0001 -0.0001 1
0.0003 -0.0002 1
0.0050 -0.0002 1
0.0022 -0.0002 1
0.0011 -0.0001 1
0.0035 -0.0002 1
0.0008 -0.0002 1
0.0003 -0.0002 1
0.0015 -0.0002 1
0.0016 -0.0002 1
0.0011 -0.0002 1
0.0011 -0.0002 1
0.0000 -0.0001 1
0.0003 -0.0002 1
0.0015 -0.0002 1
0.0003 -0.0001 1
0.0000 -0.0001 1
0.0001 -0.0001 1
0.0007 -0.0002 1
0.0023 -0.0002 1
0.0046 -0.0002 1
0.0031 -0.0002 1
0.0028 -0.0002 1
0.0003 -0.0001 1
0.0011 -0.0002 1
0.0006 -0.0002 1
0.0041 -0.0002 1
0.0018 -0.0002 1
0.0002 -0.0001 1
0.0023 -0.0002 1
0.0002 -0.0002 1
0.0054 -0.0002 1
0.0035 -0.0002 1
0.0019 -0.0002 1
0.0001 -0.0002 1
0.0000 -0.0001 1
0.0002 -0.0002 1
0.0000 -0.0001 1
0.0000 -0.0002 1
0.0004 -0.0002 1
0.0000 -0.0002 1
0.0000 -0.0001 1
0.0000 -0.0001 1
0.0000 -0.0002 1
0.0000 -0.0001 1
0.0000 -0.0001 1
0.0000 -0.0001 1
0.0001 -0.0002 1
0.0000 -0.0001 1
0.0000 -0.0001 1
0.0001 -0.0002 1
0.0001 -0.0002 1
0.0000 -0.0002 1
0.0002 -0.0002 1
0.0000 -0.0002 1
0.0000 -0.0002 1
0.0000 -0.0002 1
0.0000 -0.0002 1
0.0000 -0.0002 1
0.0000 -0.0002 1
0.0001 -0.0002 1
0.0000 -0.0002 1
0.0001 -0.0002 1
0.0001 -0.0002 1
0.0001 -0.0002 1
