A_sum  B_sum   label
0.8444 -0.2679 0
0.8710 -0.2699 0
1.1262 -0.2676 0
0.8846 -0.2626 0
2.4497 -0.2646 0
1.7793 -0.2592 0
0.9878 -0.2650 0
1.2392 -0.2618 0
1.0735 -0.2606 0
1.7008 -0.2574 0
2.0602 -0.2691 0
2.0382 -0.2590 0
1.3027 -0.2664 0
1.5722 -0.2636 0
0.8975 -0.2675 0
1.5473 -0.2612 0
0.6089 -0.2673 0
0.7590 -0.2632 0
0.6191 -0.2703 0
0.7578 -0.2615 0
0.6313 -0.2694 0
0.6205 -0.2708 0
0.7376 -0.2604 0
0.5099 -0.2677 0
0.5924 -0.2723 0
0.7121 -0.2625 0
0.6437 -0.2687 0
0.7742 -0.2680 0
0.6395 -0.2710 0
0.6667 -0.2634 0
0.8790 -0.2635 0
0.6580 -0.2623 0
0.7112 -0.2609 0
1.0417 -0.2617 0
0.9269 -0.2803 0
0.6205 -0.2620 0
0.7257 -0.2603 0
0.7873 -0.2823 0
0.5859 -0.2602 0
0.7483 -0.2557 0
0.5960 -0.2536 0
0.7340 -0.2528 0
0.8202 -0.2594 0
0.8787 -0.2561 0
0.7671 -0.2613 0
0.5680 -0.2598 0
0.6825 -0.2489 0
1.0017 -0.2754 0
0.6464 -0.2511 0
0.5970 -0.2555 0
0.7697 -0.2729 0
0.8457 -0.2533 0
0.7651 -0.2624 0
0.6538 -0.2562 0
0.7211 -0.2642 0
0.7762 -0.2584 0
1.1148 -0.2515 0
0.7954 -0.2643 0
0.7546 -0.2543 0
0.5493 -0.2721 0
0.9062 -0.2535 0
0.1547 -0.3284 0
0.6474 -0.2671 0
0.5126 -0.2751 0
0.9223 -0.2578 0
0.5926 -0.2844 0
0.6894 -0.2610 0
0.4484 -0.2862 0
0.2906 -0.2782 0
0.5031 -0.2689 0
0.7087 -0.2659 0
0.6091 -0.2682 0
0.5329 -0.2691 0
0.8103 -0.2668 0
0.7600 -0.2586 0
0.5386 -0.2765 0
0.6884 -0.2618 0
0.7429 -0.2451 0
1.0897 -0.2451 0
0.9470 -0.2482 0
1.0193 -0.2481 0
0.9116 -0.2479 0
0.7474 -0.2676 0
1.2339 -0.2513 0
0.6220 -0.2488 0
0.1095 -0.2727 0
0.2422 -0.2520 0
0.5338 -0.2714 0
0.5475 -0.2869 0
0.5717 -0.3047 0
0.7485 -0.2491 0
0.4793 -0.2802 0
0.6979 -0.2579 0
1.1347 -0.2501 0
0.7753 -0.2754 0
1.1680 -0.2458 0
0.7551 -0.7958 0
0.2955 -0.2894 0
0.8679 -0.2882 0
0.7867 -0.2547 0
0.5902 -0.5770 0
0.2440 -0.1704 0
0.3196 -0.1727 0
0.2642 -0.1690 0
0.3135 -0.1733 0
0.2190 -0.1695 0
0.2220 -0.1687 0
0.2019 -0.1676 0
0.2405 -0.1701 0
0.2229 -0.1678 0
0.2489 -0.1722 0
0.2169 -0.1693 0
0.2209 -0.1695 0
0.1847 -0.1663 0
0.2026 -0.1688 0
0.2390 -0.1688 0
0.3663 -0.1505 0
0.3988 -0.1514 0
0.3149 -0.1446 0
0.3824 -0.1513 0
0.3371 -0.1472 0
0.3946 -0.1398 0
0.4257 -0.1454 0
0.2704 -0.1448 0
0.3867 -0.1441 0
0.3609 -0.1472 0
0.2748 -0.1437 0
0.2655 -0.1452 0
0.4352 -0.1524 0
0.3672 -0.1442 0
0.4553 -0.1547 0
0.5437 -0.1556 0
0.3898 -0.1519 0
0.4485 -0.1526 0
0.3798 -0.1494 0
0.4461 -0.1554 0
0.4595 -0.1567 0
0.4811 -0.1523 0
0.3236 -0.1461 0
0.3917 -0.1501 0
0.4183 -0.1542 0
0.2894 -0.1460 0
0.3543 -0.1493 0
0.4850 -0.1502 0
0.4068 -0.1530 0
0.1977 -0.1603 0
0.0787 -0.1660 0
0.1356 -0.1633 0
0.1119 -0.1575 0
0.1042 -0.1469 0
0.1892 -0.1676 0
0.0851 -0.1565 0
0.1184 -0.1615 0
0.3027 -0.1733 0
0.0825 -0.1632 0
0.1890 -0.1787 0
0.1009 -0.1614 0
0.1408 -0.1614 0
0.0885 -0.1738 0
0.0746 -0.1599 0
0.1120 -0.1379 0
0.2209 -0.1415 0
0.2965 -0.1532 0
0.1546 -0.1167 0
0.1651 -0.1262 0
0.2751 -0.1526 0
0.1093 -0.1286 0
0.1671 -0.1403 0
0.2516 -0.1447 0
0.1740 -0.1468 0
0.1417 -0.1323 0
0.2221 -0.1516 0
0.1937 -0.1265 0
0.2207 -0.1422 0
0.2223 -0.1628 0
0.1630 -0.1324 0
0.2229 -0.1483 0
0.2495 -0.1579 0
0.1200 -0.1467 0
0.2355 -0.1490 0
0.1887 -0.1604 0
0.0962 -0.1287 0
0.1894 -0.1374 0
0.1289 -0.1352 0
0.2685 -0.1476 0
0.2394 -0.1484 0
0.1892 -0.1562 0
0.1904 -0.1475 0
0.1978 -0.1134 0
0.1031 -0.1874 0
0.1336 -0.1845 0
0.0298 -0.1663 0
0.1015 -0.1680 0
0.4906 -0.1872 0
0.0817 -0.1859 0
0.0255 -0.1704 0
0.2900 -0.1809 0
0.4569 -0.1702 0
0.0512 -0.2208 0
0.1240 -0.1463 0
0.0877 -0.1442 0
0.1705 -0.1672 0
0.0771 -0.1425 0
0.0952 -0.1562 0
0.1823 -0.1364 0
0.0252 -0.6258 0
0.2394 -0.1581 0
0.0660 -0.1402 0
0.1789 -0.1565 0
0.1262 -0.1739 0
0.0598 -0.1481 0
0.1382 -0.1628 0
0.1132 -0.1550 0
0.1393 -0.1422 0
0.3207 -0.2218 0
0.1614 -0.1500 0
0.1139 -0.1442 0
0.2153 -0.1723 0
0.1482 -0.1477 0
0.1614 -0.1812 0
0.1925 -0.1728 0
0.0919 -0.1604 0
0.0965 -0.1627 0
0.1119 -0.0761 0
0.1346 -0.1480 0
0.1457 -0.1627 0
0.2895 -0.1723 0
0.3169 -0.1459 1
0.4426 -0.1488 1
0.3648 -0.1438 1
0.4363 -0.1458 1
0.4187 -0.1477 1
0.6017 -0.1515 1
0.3766 -0.1446 1
0.3818 -0.1462 1
0.3333 -0.1458 1
0.3640 -0.1436 1
0.3709 -0.1464 1
0.3578 -0.1452 1
0.5798 -0.1534 1
0.4122 -0.1439 1
0.8787 -0.1562 1
0.6819 -0.1649 1
0.7398 -0.1644 1
0.6750 -0.1642 1
0.6468 -0.1632 1
0.6719 -0.1638 1
0.7324 -0.1625 1
0.6611 -0.1632 1
0.7685 -0.1642 1
0.7187 -0.1649 1
0.7377 -0.1691 1
0.5706 -0.1660 1
0.9233 -0.1709 1
0.6931 -0.1666 1
0.5593 -0.1675 1
0.6026 -0.1696 1
0.6832 -0.1672 1
0.6517 -0.1686 1
0.6897 -0.1681 1
0.1114 -0.1309 1
0.1662 -0.1311 1
0.1191 -0.1372 1
0.1926 -0.1379 1
0.1941 -0.1372 1
0.2257 -0.1395 1
0.0339 -0.1155 1
0.4349 -0.1544 1
0.3571 -0.1502 1
0.3236 -0.1517 1
0.2018 -0.1506 1
0.2250 -0.1446 1
0.2743 -0.1426 1
0.1667 -0.1407 1
0.1462 -0.1268 1
0.3242 -0.1526 1
0.3724 -0.1671 1
0.1543 -0.1465 1
0.4766 -0.1631 1
0.3721 -0.1578 1
0.3971 -0.1633 1
0.2950 -0.1602 1
0.4135 -0.1595 1
0.2990 -0.1619 1
0.4131 -0.1594 1
0.3599 -0.1611 1
0.1879 -0.1558 1
0.5317 -0.1649 1
0.3730 -0.1643 1
0.2725 -0.1638 1
0.4605 -0.1628 1
0.3604 -0.1558 1
0.4080 -0.1661 1
0.1667 -0.1411 1
0.4626 -0.1614 1
0.4767 -0.1621 1
0.3044 -0.1653 1
0.3218 -0.1599 1
0.3888 -0.1609 1
0.3095 -0.1563 1
0.3461 -0.1650 1
0.2843 -0.1533 1
0.3475 -0.1638 1
0.4323 -0.1648 1
0.3165 -0.1644 1
0.4759 -0.1691 1
0.1705 -0.1514 1
0.6158 -0.1652 1
0.3594 -0.1612 1
0.5837 -0.1597 1
0.1744 -0.1586 1
0.2991 -0.1602 1
0.1203 -0.1567 1
0.5893 -0.1685 1
0.3727 -0.1715 1
0.1951 -0.1529 1
0.1504 -0.1635 1
0.1560 -0.1550 1
0.2002 -0.1599 1
0.5293 -0.1669 1
0.4176 -0.1649 1
0.3138 -0.1577 1
0.4617 -0.1726 1
0.2984 -0.1603 1
0.2107 -0.1660 1
0.3457 -0.1624 1
0.3595 -0.1649 1
0.3192 -0.1637 1
0.3209 -0.1717 1
0.0563 -0.1485 1
0.2078 -0.1619 1
0.3465 -0.1768 1
0.2060 -0.1490 1
0.0906 -0.1546 1
0.1540 -0.1509 1
0.2680 -0.1632 1
0.3957 -0.1732 1
0.5019 -0.1708 1
0.4405 -0.1646 1
0.4353 -0.1684 1
0.2055 -0.1530 1
0.3176 -0.1666 1
0.2598 -0.1657 1
0.4912 -0.1685 1
0.3840 -0.1607 1
0.1961 -0.1522 1
0.4335 -0.1686 1
0.1882 -0.1640 1
0.5302 -0.1732 1
0.4700 -0.1641 1
0.4017 -0.1668 1
0.1149 -0.1662 1
0.0810 -0.1595 1
0.1685 -0.1710 1
0.0362 -0.1408 1
0.1118 -0.1639 1
0.2326 -0.1690 1
0.1048 -0.1653 1
0.0390 -0.1487 1
0.0446 -0.1525 1
0.1029 -0.1668 1
0.0648 -0.1536 1
0.0852 -0.1594 1
0.0631 -0.1563 1
0.1179 -0.1678 1
0.0523 -0.1494 1
0.0492 -0.1509 1
0.1209 -0.1691 1
0.1441 -0.1757 1
0.1111 -0.1689 1
0.1636 -0.1731 1
0.1015 -0.1664 1
0.0672 -0.1683 1
0.0668 -0.1657 1
0.0825 -0.1627 1
0.0715 -0.1614 1
0.1000 -0.1656 1
0.1163 -0.1689 1
0.0861 -0.1687 1
0.1435 -0.1767 1
0.1222 -0.1689 1
0.1178 -0.1668 1
0.1165 -0.1651 1
0.1825 -0.1721 1
0.1275 -0.1666 1
0.0595 -0.1516 1
0.1679 -0.1703 1
0.1659 -0.1693 1
0.1797 -0.1724 1
0.0784 -0.1612 1
0.1148 -0.1665 1
0.1445 -0.1714 1
0.0669 -0.1553 1
0.1206 -0.1671 1
0.1427 -0.1700 1
0.0923 -0.1655 1
0.1113 -0.1703 1
0.1382 -0.1752 1
0.1068 -0.1691 1
0.0801 -0.1593 1
0.2210 -0.1771 1
0.1131 -0.1697 1
0.0905 -0.1690 1
0.1153 -0.1664 1
0.1410 -0.1715 1
0.0648 -0.1459 1
0.0607 -0.1614 1
0.1362 -0.1714 1
0.1107 -0.1717 1
0.0509 -0.1646 1
0.0737 -0.1646 1
0.1891 -0.1721 1
0.0882 -0.1595 1
0.1008 -0.1676 1
0.1090 -0.1640 1
0.1041 -0.1644 1
0.1132 -0.1684 1
0.2635 -0.1693 1
0.0737 -0.1589 1
0.0537 -0.1545 1
0.0515 -0.1533 1
0.0805 -0.1645 1
0.2229 -0.1713 1
0.1233 -0.1653 1
0.0652 -0.1563 1
0.0746 -0.1571 1
0.0900 -0.1717 1
0.1064 -0.1789 1
0.0254 -0.1238 1
0.1250 -0.1855 1
0.1573 -0.1934 1
0.0855 -0.2181 1
0.0799 -0.2153 1
0.0574 -0.1714 1
0.0501 -0.1762 1
0.0544 -0.1743 1
0.0599 -0.2198 1
0.0562 -0.2132 1
0.1008 -0.1779 1
0.1180 -0.1752 1
0.0389 -0.1593 1
0.0477 -0.1608 1
0.0691 -0.1731 1
0.0747 -0.1735 1
0.1495 -0.1758 1
0.0629 -0.1650 1
0.1797 -0.1847 1
0.1726 -0.1822 1
0.0748 -0.1708 1
0.0555 -0.1735 1
0.0118 -0.1093 1
0.2686 -0.1841 1
0.0280 -0.1537 1
0.1435 -0.1903 1
0.0476 -0.1585 1
0.1318 -0.1850 1
0.0959 -0.1793 1
0.1339 -0.1860 1
0.1356 -0.1897 1
0.0394 -0.1550 1
0.0565 -0.1694 1
0.0727 -0.1713 1
0.1907 -0.1937 1
0.1379 -0.1903 1
0.1006 -0.1858 1
0.0643 -0.1672 1
0.1742 -0.1957 1
0.0240 -0.1414 1
0.0863 -0.1843 1
0.1314 -0.1888 1
0.0404 -0.1690 1
0.0891 -0.1849 1
0.1412 -0.1795 1
0.2326 -0.2039 1
0.0610 -0.1578 1
0.0862 -0.1886 1
0.0503 -0.1394 1
0.0890 -0.1670 1
0.0876 -0.1829 1
0.0907 -0.1810 1
0.0481 -0.1675 1
0.1394 -0.1860 1
0.1065 -0.1893 1
0.0867 -0.1873 1
0.0982 -0.2003 1
0.2041 -0.2030 1
0.1741 -0.2014 1
0.1538 -0.2034 1
0.0696 -0.1881 1
0.2234 -0.2043 1
0.1062 -0.1972 1
0.2724 -0.2040 1
0.2919 -0.2057 1
0.5168 -0.1848 1
0.1081 -0.2012 1
0.1481 -0.2019 1
0.1193 -0.1971 1
0.1652 -0.1979 1
0.1295 -0.2017 1
0.1767 -0.2023 1
0.1218 -0.1975 1
0.2455 -0.1980 1
0.2576 -0.2011 1
0.1776 -0.1896 1
0.1549 -0.1941 1
0.1382 -0.1958 1
0.2702 -0.2013 1
0.3356 -0.2011 1
0.1086 -0.1943 1
0.1158 -0.1905 1
